AlbumId,GenreId,ArtistId,Title,Price,AlbumArtUrl
386,1,1,For Those About To Rock We Salute You,8,99,/Content/Images/placeholder.gif
387,1,1,Let There Be Rock,8,99,/Content/Images/placeholder.gif
388,1,100,Greatest Hits,8,99,/Content/Images/placeholder.gif
389,1,102,Misplaced Childhood,8,99,/Content/Images/placeholder.gif
390,1,105,The Best Of Men At Work,8,99,/Content/Images/placeholder.gif
392,1,110,Nevermind,8,99,/Content/Images/placeholder.gif
393,1,111,Compositores,8,99,/Content/Images/placeholder.gif
394,1,114,Bark at the Moon (Remastered),8,99,/Content/Images/placeholder.gif
395,1,114,Blizzard of Ozz,8,99,/Content/Images/placeholder.gif
396,1,114,Diary of a Madman (Remastered),8,99,/Content/Images/placeholder.gif
397,1,114,No More Tears (Remastered),8,99,/Content/Images/placeholder.gif
398,1,114,Speak of the Devil,8,99,/Content/Images/placeholder.gif
399,1,115,Walking Into Clarksdale,8,99,/Content/Images/placeholder.gif
400,1,117,The Beast Live,8,99,/Content/Images/placeholder.gif
401,1,118,Live On Two Legs [Live],8,99,/Content/Images/placeholder.gif
402,1,118,Riot Act,8,99,/Content/Images/placeholder.gif
403,1,118,Ten,8,99,/Content/Images/placeholder.gif
404,1,118,Vs.,8,99,/Content/Images/placeholder.gif
405,1,120,Dark Side Of The Moon,8,99,/Content/Images/placeholder.gif
406,1,124,New Adventures In Hi-Fi,8,99,/Content/Images/placeholder.gif
407,1,126,Raul Seixas,8,99,/Content/Images/placeholder.gif
408,1,127,By The Way,8,99,/Content/Images/placeholder.gif
409,1,127,Californication,8,99,/Content/Images/placeholder.gif
410,1,128,Retrospective I (1974-1980),8,99,/Content/Images/placeholder.gif
411,1,130,Maquinarama,8,99,/Content/Images/placeholder.gif
412,1,130,O Samba Poconé,8,99,/Content/Images/placeholder.gif
413,1,132,A-Sides,8,99,/Content/Images/placeholder.gif
414,1,134,Core,8,99,/Content/Images/placeholder.gif
415,1,136,[1997] Black Light Syndrome,8,99,/Content/Images/placeholder.gif
416,1,139,Beyond Good And Evil,8,99,/Content/Images/placeholder.gif
418,1,140,The Doors,8,99,/Content/Images/placeholder.gif
419,1,141,The Police Greatest Hits,8,99,/Content/Images/placeholder.gif
420,1,142,Hot Rocks, 1964-1971 (Disc 1),8,99,/Content/Images/placeholder.gif
421,1,142,No Security,8,99,/Content/Images/placeholder.gif
422,1,142,Voodoo Lounge,8,99,/Content/Images/placeholder.gif
423,1,144,My Generation - The Very Best Of The Who,8,99,/Content/Images/placeholder.gif
424,1,150,Achtung Baby,8,99,/Content/Images/placeholder.gif
425,1,150,B-Sides 1980-1990,8,99,/Content/Images/placeholder.gif
426,1,150,How To Dismantle An Atomic Bomb,8,99,/Content/Images/placeholder.gif
427,1,150,Pop,8,99,/Content/Images/placeholder.gif
428,1,150,Rattle And Hum,8,99,/Content/Images/placeholder.gif
429,1,150,The Best Of 1980-1990,8,99,/Content/Images/placeholder.gif
430,1,150,War,8,99,/Content/Images/placeholder.gif
431,1,150,Zooropa,8,99,/Content/Images/placeholder.gif
432,1,152,Diver Down,8,99,/Content/Images/placeholder.gif
433,1,152,The Best Of Van Halen, Vol. I,8,99,/Content/Images/placeholder.gif
434,1,152,Van Halen III,8,99,/Content/Images/placeholder.gif
435,1,152,Van Halen,8,99,/Content/Images/placeholder.gif
436,1,153,Contraband,8,99,/Content/Images/placeholder.gif
437,1,157,Un-Led-Ed,8,99,/Content/Images/placeholder.gif
439,1,2,Balls to the Wall,8,99,/Content/Images/placeholder.gif
440,1,2,Restless and Wild,8,99,/Content/Images/placeholder.gif
441,1,200,Every Kind of Light,8,99,/Content/Images/placeholder.gif
442,1,22,BBC Sessions [Disc 1] [Live],8,99,/Content/Images/placeholder.gif
443,1,22,BBC Sessions [Disc 2] [Live],8,99,/Content/Images/placeholder.gif
444,1,22,Coda,8,99,/Content/Images/placeholder.gif
445,1,22,Houses Of The Holy,8,99,/Content/Images/placeholder.gif
446,1,22,In Through The Out Door,8,99,/Content/Images/placeholder.gif
447,1,22,IV,8,99,/Content/Images/placeholder.gif
448,1,22,Led Zeppelin I,8,99,/Content/Images/placeholder.gif
449,1,22,Led Zeppelin II,8,99,/Content/Images/placeholder.gif
450,1,22,Led Zeppelin III,8,99,/Content/Images/placeholder.gif
451,1,22,Physical Graffiti [Disc 1],8,99,/Content/Images/placeholder.gif
452,1,22,Physical Graffiti [Disc 2],8,99,/Content/Images/placeholder.gif
453,1,22,Presence,8,99,/Content/Images/placeholder.gif
454,1,22,The Song Remains The Same (Disc 1),8,99,/Content/Images/placeholder.gif
455,1,22,The Song Remains The Same (Disc 2),8,99,/Content/Images/placeholder.gif
456,1,23,Bongo Fury,8,99,/Content/Images/placeholder.gif
457,1,3,Big Ones,8,99,/Content/Images/placeholder.gif
458,1,4,Jagged Little Pill,8,99,/Content/Images/placeholder.gif
459,1,5,Facelift,8,99,/Content/Images/placeholder.gif
460,1,51,Greatest Hits I,8,99,/Content/Images/placeholder.gif
461,1,51,Greatest Hits II,8,99,/Content/Images/placeholder.gif
462,1,51,News Of The World,8,99,/Content/Images/placeholder.gif
463,1,52,Greatest Kiss,8,99,/Content/Images/placeholder.gif
464,1,52,Unplugged [Live],8,99,/Content/Images/placeholder.gif
465,1,55,Into The Light,8,99,/Content/Images/placeholder.gif
466,1,58,Come Taste The Band,8,99,/Content/Images/placeholder.gif
467,1,58,Deep Purple In Rock,8,99,/Content/Images/placeholder.gif
468,1,58,Fireball,8,99,/Content/Images/placeholder.gif
469,1,58,Machine Head,8,99,/Content/Images/placeholder.gif
470,1,58,MK III The Final Concerts [Disc 1],8,99,/Content/Images/placeholder.gif
471,1,58,Purpendicular,8,99,/Content/Images/placeholder.gif
472,1,58,Slaves And Masters,8,99,/Content/Images/placeholder.gif
473,1,58,Stormbringer,8,99,/Content/Images/placeholder.gif
474,1,58,The Battle Rages On,8,99,/Content/Images/placeholder.gif
475,1,58,The Final Concerts (Disc 2),8,99,/Content/Images/placeholder.gif
476,1,59,Santana - As Years Go By,8,99,/Content/Images/placeholder.gif
477,1,59,Santana Live,8,99,/Content/Images/placeholder.gif
478,1,59,Supernatural,8,99,/Content/Images/placeholder.gif
479,1,76,Chronicle, Vol. 1,8,99,/Content/Images/placeholder.gif
480,1,76,Chronicle, Vol. 2,8,99,/Content/Images/placeholder.gif
481,1,8,Audioslave,8,99,/Content/Images/placeholder.gif
482,1,82,King For A Day Fool For A Lifetime,8,99,/Content/Images/placeholder.gif
483,1,84,In Your Honor [Disc 1],8,99,/Content/Images/placeholder.gif
484,1,84,In Your Honor [Disc 2],8,99,/Content/Images/placeholder.gif
